ID,Age,Sex,Ethnicity,University_Degree,Flu_Vaccination_History,Living_Area,Before_Perception
70,43,Female,White,Yes,Yes,Urban,1
71,38,Male,Latino,Yes,Yes,Urban,5
72,30,Male,White,Yes,No,Urban,3
73,36,Female,White,No,No,Urban,1
74,35,Female,White,Yes,Yes,Urban,1
75,19,Male,Latino,Yes,Yes,Rural,3
76,62,Male,Asian,Yes,No,Urban,2
77,59,Male,Black,Yes,No,Urban,1
78,45,Male,Asian,Yes,No,Urban,4
79,40,Female,Latino,No,No,Urban,5
80,21,Male,White,No,No,Rural,1
81,21,Male,Latino,No,Yes,Rural,1
82,29,Male,White,No,Yes,Urban,2
83,39,Male,White,No,No,Urban,3
84,43,Male,White,No,No,Rural,3
85,57,Male,White,Yes,Yes,Rural,1
86,59,Female,White,No,Yes,Rural,2
87,52,Female,Asian,Yes,No,Urban,1
88,21,Male,Latino,No,No,Rural,3
89,29,Female,White,No,No,Urban,4
90,21,Male,White,No,Yes,Urban,4
91,48,Male,Black,Yes,Yes,Urban,5
92,24,Male,White,No,Yes,Rural,5
93,27,Male,White,No,Yes,Rural,1
94,41,Female,Latino,No,No,Rural,4
95,32,Male,White,No,Yes,Urban,4
96,56,Female,White,No,Yes,Urban,5
97,37,Female,Latino,No,No,Rural,1
98,24,Female,White,No,Yes,Urban,5
99,30,Male,White,No,No,Urban,3
100,45,Female,White,No,Yes,Urban,4
101,56,Male,Others,No,No,Urban,2
102,35,Male,White,No,Yes,Rural,1
103,64,Male,Latino,No,Yes,Urban,3
104,28,Female,White,No,Yes,Urban,1
105,53,Female,Latino,No,No,Urban,4
106,53,Male,White,No,Yes,Urban,2
107,19,Female,White,No,No,Rural,2
108,63,Female,White,No,No,Urban,3
109,34,Male,Asian,No,No,Urban,5
110,23,Female,White,No,No,Urban,4
111,58,Female,White,Yes,Yes,Urban,5
112,63,Male,Asian,No,No,Urban,4
113,40,Female,White,No,No,Urban,2
114,64,Female,Latino,No,No,Urban,5
115,33,Female,White,Yes,Yes,Urban,1
116,58,Female,White,No,No,Urban,4
117,43,Female,White,Yes,No,Rural,4
118,63,Female,White,No,Yes,Urban,3
119,18,Male,White,No,No,Urban,5
120,53,Female,White,No,No,Rural,1
121,47,Male,White,Yes,No,Urban,4
122,19,Male,White,No,Yes,Urban,5
123,37,Male,White,No,No,Urban,2
124,22,Male,Asian,No,Yes,Urban,5
125,48,Female,White,No,Yes,Urban,2
126,25,Male,Latino,No,No,Urban,4
127,47,Male,Latino,No,No,Urban,4
128,56,Male,Latino,Yes,Yes,Urban,5
129,19,Female,White,Yes,Yes,Rural,3
130,30,Female,Asian,Yes,No,Urban,3
131,21,Male,White,Yes,No,Rural,2
132,62,Female,White,No,No,Urban,2
133,25,Female,White,Yes,No,Urban,4
134,56,Female,Latino,Yes,Yes,Rural,2
135,42,Female,Black,No,No,Urban,1
136,24,Male,White,No,Yes,Rural,1
137,31,Male,Asian,No,No,Urban,4
138,46,Male,Others,No,No,Rural,4
139,62,Female,White,No,Yes,Urban,5
140,38,Male,Black,No,Yes,Urban,5
141,54,Male,White,No,Yes,Urban,3
142,50,Male,Latino,No,No,Urban,2
143,58,Male,White,No,No,Urban,1
144,42,Female,White,No,No,Rural,3
145,63,Male,White,No,Yes,Urban,2
146,31,Male,White,No,Yes,Rural,3
147,26,Female,Others,Yes,Yes,Urban,2
148,32,Male,White,No,Yes,Rural,5
149,24,Female,Asian,Yes,No,Rural,4
150,19,Male,Latino,No,Yes,Urban,1
151,48,Female,White,No,Yes,Urban,3
152,24,Male,Latino,Yes,No,Urban,5
153,58,Male,White,No,Yes,Rural,4
154,28,Female,White,Yes,No,Rural,2
155,30,Male,Black,No,No,Urban,3
156,30,Female,White,No,No,Rural,1
157,43,Male,White,No,No,Urban,1
158,60,Male,White,No,Yes,Urban,3
159,25,Female,White,No,Yes,Urban,1
160,31,Female,White,Yes,No,Urban,3
161,62,Female,Black,Yes,Yes,Rural,3
162,19,Female,White,No,Yes,Urban,1
163,59,Male,Latino,Yes,Yes,Urban,3
164,32,Male,Latino,No,No,Urban,5
165,41,Female,White,Yes,No,Urban,5
166,51,Female,White,No,No,Urban,1
167,21,Female,White,No,No,Urban,3
168,35,Male,White,No,No,Urban,4
169,42,Female,White,No,Yes,Urban,3
170,64,Male,White,No,No,Urban,2
171,41,Male,Latino,No,No,Urban,3
172,23,Male,White,No,No,Rural,2
173,51,Female,White,No,No,Urban,4
174,55,Female,White,No,Yes,Urban,2
175,20,Female,White,No,Yes,Urban,2
176,36,Female,Latino,No,Yes,Urban,2
177,64,Female,White,No,No,Rural,4
178,63,Female,Latino,No,No,Urban,5
179,53,Female,Latino,No,Yes,Urban,1
180,36,Female,White,No,Yes,Urban,2
181,45,Female,White,No,No,Urban,4
182,64,Male,White,No,No,Urban,4
183,27,Female,Latino,Yes,No,Urban,1
184,35,Male,Asian,No,No,Urban,1
185,21,Male,White,Yes,No,Urban,2
186,29,Female,White,No,Yes,Urban,5
187,44,Male,Black,Yes,No,Urban,5
188,46,Female,White,Yes,No,Rural,5
189,29,Female,White,No,Yes,Urban,5
190,28,Female,Black,Yes,No,Urban,2
191,21,Female,Latino,Yes,Yes,Urban,5
192,63,Male,Latino,No,No,Rural,2
193,41,Male,White,No,No,Urban,5
194,43,Male,White,No,Yes,Rural,2
195,45,Male,White,Yes,No,Urban,2
196,64,Male,White,No,Yes,Urban,1
197,21,Female,White,No,No,Urban,3
198,53,Male,White,No,Yes,Rural,5
199,32,Male,White,Yes,Yes,Urban,3
200,39,Female,Black,Yes,No,Urban,1
201,41,Male,White,No,No,Urban,1
202,41,Female,Latino,No,Yes,Urban,4
203,54,Female,White,Yes,Yes,Urban,3
204,22,Female,Latino,No,No,Urban,3
205,23,Male,White,No,No,Urban,4
206,27,Male,White,Yes,No,Rural,1
207,20,Male,Latino,Yes,No,Urban,4
208,55,Male,Latino,Yes,Yes,Rural,1
209,51,Female,Latino,No,No,Urban,3
210,23,Female,Others,No,Yes,Urban,1
211,27,Male,Latino,No,Yes,Urban,4
212,33,Female,Asian,Yes,Yes,Urban,2
213,46,Male,White,No,No,Urban,5
214,20,Male,Others,Yes,Yes,Rural,1
215,28,Female,Asian,No,Yes,Urban,4
216,54,Male,White,No,No,Urban,1
217,21,Female,White,No,Yes,Urban,5
218,21,Female,White,No,No,Rural,3
219,41,Male,Latino,No,Yes,Urban,2
220,45,Female,Latino,No,No,Urban,4
221,52,Male,White,No,Yes,Rural,2
222,55,Female,Black,No,Yes,Urban,4
223,41,Female,Latino,No,No,Urban,4
224,39,Male,White,No,No,Urban,1
225,43,Male,White,No,Yes,Urban,2
226,35,Male,Latino,Yes,No,Urban,1
227,20,Female,Latino,No,No,Urban,5
228,63,Male,White,Yes,No,Urban,4
229,28,Female,White,No,Yes,Urban,5
230,26,Female,Latino,Yes,Yes,Rural,3
231,50,Female,Black,No,No,Urban,5
232,43,Male,White,No,No,Urban,5
233,53,Male,White,No,No,Urban,1
234,21,Female,White,No,Yes,Rural,4
235,19,Male,Black,No,No,Urban,2
236,25,Female,White,No,Yes,Rural,2
237,24,Male,Latino,Yes,No,Urban,1
238,53,Female,White,Yes,No,Urban,3
239,51,Male,White,No,Yes,Rural,4
240,57,Female,Latino,No,No,Urban,5
241,36,Male,White,No,Yes,Rural,2
242,46,Female,Latino,No,Yes,Urban,2
243,56,Female,Others,No,Yes,Urban,3
244,23,Female,Latino,No,Yes,Urban,2
245,27,Female,Asian,No,No,Urban,4
246,58,Female,White,No,No,Urban,4
247,59,Female,Latino,No,Yes,Urban,2
248,22,Male,White,Yes,No,Urban,2
249,41,Female,White,No,No,Urban,4
250,58,Female,Latino,Yes,No,Urban,4
251,39,Male,White,Yes,Yes,Urban,4
252,43,Female,White,No,No,Urban,3
253,54,Female,White,No,Yes,Urban,1
254,62,Female,White,No,No,Urban,3
255,46,Male,Latino,Yes,No,Rural,3
256,53,Female,White,No,No,Urban,1
257,37,Male,Asian,No,Yes,Urban,2
258,35,Female,Latino,No,No,Rural,1
259,57,Male,Latino,No,Yes,Urban,2
260,62,Male,White,No,No,Urban,2
261,58,Female,White,Yes,No,Rural,2
262,32,Female,Latino,No,No,Urban,2
263,32,Male,Latino,No,Yes,Urban,4
264,41,Male,Black,Yes,Yes,Urban,3
265,46,Male,Latino,No,No,Urban,1
266,34,Female,White,No,No,Urban,4
267,64,Male,Latino,Yes,No,Urban,2
268,42,Male,White,Yes,Yes,Urban,4
269,33,Male,White,Yes,No,Urban,3
270,34,Female,White,No,Yes,Urban,4
271,64,Female,Others,Yes,Yes,Urban,1
272,64,Female,Black,No,No,Urban,3
273,38,Female,Latino,No,Yes,Urban,5
274,61,Male,White,No,Yes,Urban,3
275,44,Female,Latino,No,No,Urban,4
276,22,Male,Latino,No,No,Urban,1
277,39,Male,Black,Yes,No,Urban,2
278,50,Female,White,No,No,Urban,4
279,57,Male,White,No,No,Rural,1
280,19,Female,White,No,No,Urban,3
281,52,Female,White,Yes,Yes,Urban,4
282,60,Female,Black,No,Yes,Urban,3
283,36,Female,White,Yes,Yes,Rural,4
284,57,Female,White,Yes,No,Urban,2
285,44,Female,Latino,Yes,Yes,Urban,3
286,57,Male,Others,No,Yes,Urban,2
287,53,Male,Latino,Yes,No,Urban,3
288,56,Male,Black,No,No,Urban,2
289,19,Female,White,No,No,Urban,1
290,58,Female,Asian,No,No,Urban,2
291,35,Male,Latino,No,Yes,Urban,1
292,63,Male,Asian,No,No,Urban,1
293,40,Female,Latino,No,No,Urban,5
294,43,Female,White,No,Yes,Urban,2
295,28,Female,Latino,No,Yes,Urban,1
296,18,Male,White,No,Yes,Urban,1
297,53,Male,White,No,No,Urban,5
298,37,Male,White,No,No,Urban,2
299,48,Male,White,No,Yes,Urban,3
300,25,Male,Latino,No,No,Urban,2
301,57,Female,White,No,No,Rural,3
302,41,Female,Asian,No,Yes,Urban,5
303,37,Male,White,No,No,Rural,3
304,32,Female,White,No,No,Urban,3
305,47,Female,White,Yes,No,Urban,5
306,37,Female,Latino,No,No,Urban,1
307,55,Male,Asian,No,No,Urban,5
308,19,Female,Latino,No,Yes,Urban,4
309,23,Female,White,No,No,Urban,1
310,59,Female,White,No,No,Urban,3
311,35,Female,White,Yes,Yes,Urban,3
312,53,Male,White,No,Yes,Rural,1
313,31,Male,Latino,No,No,Rural,2
314,43,Male,White,Yes,Yes,Urban,3
315,51,Female,Asian,No,Yes,Urban,4
316,47,Male,White,No,Yes,Urban,4
317,24,Male,Black,Yes,No,Urban,5
318,47,Female,Others,No,No,Urban,3
319,35,Male,White,No,Yes,Urban,1
320,39,Female,White,No,No,Urban,4
321,34,Male,Black,No,No,Urban,3
322,48,Male,White,No,Yes,Urban,4
323,34,Male,Latino,Yes,No,Urban,5
324,48,Male,White,Yes,Yes,Rural,5
325,30,Female,White,No,Yes,Urban,4
326,44,Male,White,Yes,No,Urban,5
327,37,Male,White,No,Yes,Urban,2
328,34,Female,Black,Yes,No,Urban,4
329,46,Male,Black,Yes,No,Urban,2
330,56,Male,White,No,Yes,Urban,4
331,52,Male,White,No,Yes,Urban,3
332,25,Female,White,No,No,Urban,1
333,60,Male,Latino,No,No,Urban,3
334,55,Female,White,Yes,Yes,Rural,4
335,32,Female,Others,No,Yes,Urban,1
336,18,Male,White,No,No,Rural,2
337,50,Female,Black,Yes,Yes,Urban,4
338,20,Male,Latino,No,No,Urban,5
339,56,Female,White,No,Yes,Urban,4
340,55,Male,Latino,No,No,Urban,5
341,32,Female,White,No,No,Urban,4
342,59,Female,Latino,No,No,Urban,1
343,35,Female,White,No,No,Rural,4
344,55,Female,White,No,No,Urban,2
345,48,Male,White,Yes,Yes,Urban,3
346,37,Male,White,No,No,Urban,4
347,24,Male,White,Yes,No,Urban,4
348,54,Female,White,No,Yes,Urban,2
349,44,Female,White,No,Yes,Urban,2
350,25,Female,Latino,Yes,No,Urban,2
351,31,Female,Latino,No,Yes,Urban,5
352,32,Male,Latino,No,No,Urban,4
353,24,Male,Latino,No,Yes,Urban,1
354,50,Male,White,No,Yes,Urban,4
355,51,Male,Latino,No,No,Urban,4
356,21,Male,Latino,No,Yes,Urban,1
357,18,Male,White,No,No,Urban,2
358,58,Female,Black,No,No,Urban,2
359,31,Female,White,No,Yes,Urban,3
360,48,Male,Black,Yes,Yes,Urban,5
361,55,Female,White,No,Yes,Urban,3
362,37,Female,White,No,No,Urban,5
363,20,Female,White,No,Yes,Urban,2
364,52,Male,Latino,No,No,Urban,2
365,63,Female,Latino,No,Yes,Urban,2
366,50,Female,White,Yes,Yes,Urban,1
367,32,Female,White,No,Yes,Rural,4
368,20,Female,Asian,No,No,Urban,2
369,45,Male,Asian,No,Yes,Urban,1
370,44,Female,White,No,No,Urban,4
371,64,Male,White,Yes,Yes,Urban,1
372,64,Female,White,No,No,Urban,1
373,50,Female,Black,No,No,Urban,2
374,36,Female,Black,No,Yes,Urban,4
375,50,Male,White,No,No,Urban,4
376,48,Female,White,Yes,Yes,Urban,1
377,21,Male,White,No,Yes,Urban,1
378,49,Female,White,No,Yes,Urban,1
379,59,Female,Asian,No,No,Urban,3
380,45,Female,Others,No,No,Urban,5
381,33,Female,White,Yes,Yes,Urban,4
382,60,Male,Latino,No,Yes,Urban,5
383,45,Female,White,No,No,Rural,2
384,32,Female,White,Yes,No,Urban,5
385,39,Male,White,Yes,Yes,Urban,4
386,48,Female,White,Yes,Yes,Urban,5
387,38,Male,White,No,Yes,Urban,4
388,49,Male,White,No,Yes,Rural,3
389,24,Female,White,Yes,Yes,Rural,3
390,50,Male,Latino,Yes,Yes,Urban,4
391,25,Male,White,No,Yes,Rural,5
392,31,Male,White,No,No,Urban,1
393,42,Female,Latino,No,No,Urban,2
394,49,Male,White,No,Yes,Rural,4
395,45,Female,White,Yes,Yes,Rural,2
396,19,Female,White,Yes,Yes,Rural,5
397,34,Female,Latino,No,No,Rural,3
398,44,Male,Asian,No,No,Urban,4
399,19,Female,White,No,No,Urban,1
400,25,Male,White,Yes,Yes,Urban,2
401,55,Female,White,No,Yes,Urban,5
402,37,Male,White,No,No,Urban,4
403,54,Female,White,No,Yes,Rural,1
404,38,Male,White,Yes,No,Urban,5
405,43,Female,Black,No,No,Urban,3
406,48,Male,White,No,Yes,Rural,2
407,37,Female,White,No,No,Urban,4
408,23,Female,White,No,No,Urban,5
409,32,Male,White,No,No,Urban,3
410,18,Female,Latino,Yes,Yes,Urban,4
411,43,Male,White,No,Yes,Urban,4
412,46,Male,White,No,Yes,Urban,5
413,19,Male,Latino,No,Yes,Urban,4
414,39,Female,White,No,Yes,Urban,2
415,46,Female,White,Yes,No,Rural,4
416,26,Male,White,No,Yes,Urban,3
417,58,Male,White,No,Yes,Urban,2
418,38,Male,White,No,No,Urban,2
419,49,Male,Black,No,Yes,Urban,4
420,49,Female,White,No,No,Rural,4
421,64,Female,White,No,No,Urban,1
422,61,Female,Asian,Yes,Yes,Urban,4
423,57,Female,Others,No,Yes,Urban,2
424,43,Female,Latino,Yes,No,Urban,2
425,30,Female,White,No,No,Urban,4
426,20,Male,White,Yes,Yes,Urban,2
427,49,Female,White,No,No,Urban,4
428,50,Female,White,No,Yes,Urban,5
429,50,Female,White,No,No,Urban,2
430,59,Female,Others,No,No,Urban,2
431,59,Male,Others,Yes,Yes,Urban,3
432,30,Female,White,No,Yes,Urban,2
433,60,Male,White,No,Yes,Urban,3
434,23,Male,Latino,Yes,Yes,Rural,4
435,21,Female,White,No,Yes,Urban,3
436,55,Male,Asian,Yes,No,Rural,5
437,23,Male,White,No,No,Urban,1
438,20,Male,White,No,No,Rural,2
439,44,Male,Latino,No,Yes,Rural,5
440,57,Female,Asian,No,Yes,Urban,5
441,37,Female,Asian,Yes,Yes,Urban,5
442,35,Male,White,Yes,No,Urban,2
443,37,Male,Black,No,Yes,Urban,4
444,47,Male,White,Yes,Yes,Urban,2
445,27,Male,White,No,No,Urban,5
446,40,Female,White,No,No,Urban,4
447,64,Female,Black,No,Yes,Urban,1
448,20,Female,Latino,No,Yes,Urban,2
449,26,Male,White,No,Yes,Urban,4
450,36,Female,White,No,No,Urban,3
451,53,Female,White,No,Yes,Urban,2
452,57,Male,Black,No,Yes,Urban,4
453,44,Male,White,No,No,Rural,1
454,59,Female,White,No,No,Urban,1
455,45,Male,Others,No,No,Rural,5
456,60,Male,Latino,No,No,Urban,4
457,25,Male,Others,Yes,Yes,Urban,3
458,59,Male,Others,No,Yes,Urban,4
459,25,Male,Latino,No,No,Urban,2
460,35,Male,White,No,Yes,Urban,5
461,38,Male,White,No,Yes,Urban,3
462,63,Female,White,Yes,Yes,Urban,5
463,30,Female,White,Yes,Yes,Urban,2
464,44,Female,Others,No,Yes,Urban,5
465,64,Female,Latino,No,Yes,Urban,1
466,57,Male,White,No,No,Urban,4
467,33,Male,Black,No,Yes,Urban,1
468,57,Female,Latino,No,No,Urban,1
469,26,Female,Black,Yes,Yes,Urban,3
470,44,Female,White,Yes,No,Urban,5
471,34,Male,Latino,Yes,No,Urban,4
472,20,Male,White,No,No,Urban,5
473,21,Male,White,Yes,No,Urban,5
474,57,Male,White,No,Yes,Urban,2
475,18,Female,White,Yes,No,Rural,5
476,31,Female,White,No,Yes,Urban,4
477,25,Female,Black,Yes,No,Urban,2
478,24,Male,White,No,No,Urban,2
479,47,Male,Latino,No,No,Rural,2
480,42,Female,Black,Yes,Yes,Urban,5
481,56,Female,White,No,Yes,Urban,2
482,33,Female,White,No,No,Urban,1
483,28,Female,White,Yes,No,Urban,3
484,42,Female,White,No,No,Urban,5
485,50,Female,Others,No,No,Urban,3
486,38,Female,Latino,Yes,No,Rural,3
487,27,Female,Latino,No,Yes,Rural,5
488,26,Male,White,No,Yes,Urban,5
489,18,Male,White,No,No,Urban,4
490,51,Female,White,Yes,No,Urban,5
491,48,Male,White,No,Yes,Urban,3
492,38,Male,White,No,No,Urban,4
493,41,Male,Black,No,Yes,Urban,2
494,36,Male,White,No,No,Rural,3
495,38,Female,White,Yes,No,Urban,3
496,42,Female,Black,No,Yes,Urban,5
497,37,Female,Black,No,Yes,Urban,1
498,43,Female,White,Yes,Yes,Urban,4
499,24,Female,White,Yes,No,Urban,1
500,20,Female,White,No,No,Rural,3
501,57,Male,Black,Yes,Yes,Urban,4
502,25,Male,White,No,No,Urban,3
503,47,Female,White,No,No,Urban,4
504,28,Female,White,No,Yes,Urban,5
505,25,Male,Others,No,No,Urban,5
506,54,Male,White,Yes,No,Urban,3
507,34,Male,White,No,Yes,Urban,5
508,25,Female,White,No,No,Urban,3
509,64,Male,Latino,No,Yes,Urban,4
510,61,Female,White,Yes,No,Urban,4
511,47,Male,Black,No,No,Urban,1
512,60,Male,White,Yes,No,Rural,2
513,60,Female,White,No,Yes,Urban,2
514,33,Male,White,No,Yes,Urban,1
515,21,Female,White,Yes,Yes,Urban,1
516,38,Female,Asian,No,No,Urban,2
517,51,Male,White,No,No,Urban,3
518,57,Female,Latino,No,No,Urban,4
519,52,Male,White,No,No,Rural,5
520,30,Male,White,Yes,No,Urban,3
521,60,Female,Latino,Yes,Yes,Urban,4
522,44,Male,White,No,No,Urban,3
523,25,Male,White,No,No,Urban,5
524,58,Male,White,No,No,Rural,4
525,59,Male,White,No,No,Urban,1
526,46,Male,White,No,No,Rural,1
527,33,Female,White,No,Yes,Urban,4
528,60,Female,White,No,No,Urban,2
529,63,Male,Others,No,No,Urban,2
530,22,Female,Asian,Yes,No,Rural,4
531,54,Female,Black,No,No,Urban,5
532,57,Female,Black,No,No,Urban,2
533,57,Male,White,Yes,No,Rural,4
534,59,Male,White,Yes,No,Urban,3
535,27,Male,White,No,No,Rural,2
536,32,Female,White,No,No,Urban,4
537,38,Male,Asian,No,Yes,Urban,4
538,51,Female,Others,No,No,Urban,5
539,39,Male,Latino,Yes,Yes,Urban,1
540,39,Female,White,No,No,Rural,4
541,26,Male,White,No,Yes,Urban,4
542,43,Female,Latino,Yes,Yes,Urban,3
543,30,Male,Asian,No,No,Rural,3
544,35,Male,White,No,Yes,Urban,2
545,18,Male,Black,Yes,No,Urban,1
546,40,Male,Latino,No,No,Urban,2
547,50,Male,Latino,No,Yes,Urban,2
548,64,Female,White,Yes,No,Urban,1
549,48,Male,Asian,Yes,Yes,Urban,1
550,38,Female,White,No,Yes,Urban,4
551,40,Female,Latino,No,Yes,Rural,4
552,33,Female,White,Yes,Yes,Rural,5
553,44,Female,Asian,No,No,Rural,3
554,54,Female,Asian,No,Yes,Urban,5
555,55,Female,Latino,No,Yes,Urban,5
556,31,Male,White,No,No,Urban,2
557,54,Male,Latino,No,Yes,Urban,5
558,64,Female,White,No,Yes,Urban,4
559,24,Female,Others,No,No,Urban,4
560,29,Male,Black,No,Yes,Rural,5
561,45,Male,White,No,Yes,Urban,1
562,20,Male,White,No,Yes,Urban,2
563,39,Female,Black,Yes,No,Urban,5
564,38,Male,White,No,Yes,Urban,1
565,46,Male,Asian,No,Yes,Urban,4
566,37,Male,Asian,No,No,Urban,2
567,20,Female,White,No,No,Urban,5
568,44,Female,White,Yes,No,Urban,5
569,38,Female,White,No,No,Rural,5
570,58,Female,White,Yes,Yes,Urban,4
571,50,Male,White,No,No,Urban,1
572,47,Female,White,No,Yes,Urban,4
573,56,Male,White,No,Yes,Urban,3
574,58,Male,Black,Yes,Yes,Urban,5
575,26,Female,Others,Yes,No,Urban,2
576,55,Female,Black,Yes,No,Urban,4
577,40,Male,White,No,Yes,Urban,4
578,40,Male,White,No,No,Urban,2
579,18,Female,White,Yes,No,Urban,2
580,38,Female,Asian,Yes,Yes,Urban,1
581,49,Female,White,Yes,Yes,Urban,3
582,62,Female,Black,Yes,No,Urban,2
583,43,Female,White,No,No,Urban,1
584,50,Male,Latino,No,Yes,Rural,3
585,26,Female,White,No,No,Urban,3
586,34,Male,White,Yes,No,Urban,1
587,23,Male,White,No,No,Urban,5
588,63,Female,Asian,No,No,Urban,1
589,24,Male,Black,Yes,Yes,Rural,5
590,24,Female,Latino,Yes,No,Urban,4
591,54,Female,Latino,Yes,Yes,Urban,1
592,22,Male,Latino,No,Yes,Urban,1
593,50,Female,White,No,Yes,Urban,3
594,27,Female,White,Yes,No,Urban,5
595,34,Male,Black,Yes,No,Rural,2
596,57,Male,Asian,No,No,Urban,1
597,45,Male,White,No,Yes,Urban,3
598,64,Female,White,No,No,Urban,5
599,63,Female,White,No,Yes,Urban,3
600,39,Male,Black,Yes,Yes,Urban,1
601,38,Female,White,No,Yes,Urban,4
602,64,Female,Black,Yes,No,Urban,5
603,49,Female,White,No,Yes,Urban,1
604,49,Female,White,No,Yes,Urban,3
605,53,Female,White,Yes,Yes,Urban,2
606,48,Male,Others,No,No,Urban,1
607,23,Male,Asian,No,No,Urban,4
608,38,Male,White,No,No,Urban,4
609,52,Female,White,No,Yes,Urban,4
610,31,Male,Black,No,Yes,Urban,5
611,40,Female,Asian,No,Yes,Urban,1
612,59,Male,Others,No,No,Urban,5
613,41,Female,White,Yes,Yes,Urban,4
614,47,Male,Asian,No,No,Urban,3
615,27,Female,White,No,No,Rural,3
616,22,Male,White,No,No,Urban,2
617,59,Female,Latino,Yes,Yes,Urban,3
618,47,Male,White,No,Yes,Urban,4
619,24,Female,White,Yes,No,Urban,1
620,23,Female,Black,No,No,Rural,1
621,25,Female,Black,Yes,Yes,Urban,1
622,43,Male,Latino,Yes,No,Urban,5
623,35,Male,Black,No,Yes,Urban,3
624,53,Male,White,No,Yes,Urban,4
625,43,Male,White,No,No,Rural,3
626,53,Male,White,Yes,No,Urban,3
627,58,Female,White,No,No,Urban,5
628,21,Female,White,Yes,Yes,Urban,4
629,30,Male,White,Yes,Yes,Urban,3
630,41,Male,Latino,Yes,Yes,Urban,3
631,48,Male,Latino,Yes,Yes,Urban,2
632,39,Female,White,Yes,Yes,Urban,5
633,57,Male,White,No,No,Urban,3
634,35,Female,White,No,Yes,Rural,1
635,51,Male,White,No,Yes,Urban,4
636,40,Female,White,No,No,Urban,1
637,56,Female,White,No,No,Rural,4
638,64,Male,Black,No,No,Urban,3
639,54,Female,Latino,No,No,Urban,1
640,64,Male,Latino,No,Yes,Urban,3
641,18,Female,White,No,No,Urban,1
642,59,Female,White,No,Yes,Urban,3
643,37,Male,White,No,No,Urban,5
644,64,Male,White,No,Yes,Urban,1
645,42,Male,White,No,Yes,Urban,5
646,23,Male,Asian,Yes,No,Urban,5
647,47,Male,Others,No,No,Urban,3
648,37,Male,Asian,Yes,Yes,Urban,4
649,26,Female,White,No,Yes,Urban,5
650,35,Female,White,No,No,Urban,2
651,57,Male,White,No,Yes,Urban,2
652,20,Male,White,No,No,Urban,5
653,53,Female,White,No,No,Rural,5
654,23,Male,White,No,Yes,Urban,2
655,61,Male,White,No,Yes,Urban,1
