ID,Group
580,Control
581,Emotion
582,Reason
583,Control
584,Emotion
585,Reason
586,Reason
587,Emotion
588,Reason
589,Control
590,Control
591,Control
592,Reason
593,Control
594,Reason
595,Control
596,Reason
597,Control
598,Emotion
599,Control
600,Control
601,Control
602,Reason
603,Emotion
604,Emotion
605,Emotion
606,Control
607,Control
608,Reason
609,Emotion
610,Reason
611,Control
612,Emotion
613,Emotion
614,Reason
615,Emotion
616,Control
617,Reason
618,Control
619,Emotion
620,Emotion
621,Control
622,Emotion
623,Emotion
624,Control
625,Reason
626,Reason
627,Control
628,Emotion
629,Control
630,Emotion
631,Emotion
632,Control
633,Control
634,Reason
635,Control
636,Reason
637,Control
638,Reason
639,Emotion
640,Reason
641,Control
642,Control
643,Emotion
644,Emotion
645,Control
646,Emotion
647,Control
648,Control
649,Control
650,Control
651,Emotion
652,Emotion
653,Control
654,Reason
655,Emotion
656,Emotion
657,Control
658,Control
659,Emotion
660,Control
661,Reason
662,Reason
663,Control
664,Emotion
665,Control
666,Emotion
667,Reason
668,Control
669,Emotion
670,Reason
671,Emotion
672,Control
673,Reason
674,Emotion
675,Reason
676,Control
677,Control
678,Reason
679,Control
680,Control
681,Emotion
682,Control
683,Control
684,Emotion
685,Emotion
686,Reason
687,Emotion
688,Reason
689,Reason
690,Emotion
691,Emotion
692,Control
693,Control
694,Emotion
695,Control
696,Reason
697,Control
698,Control
699,Emotion
700,Emotion
701,Control
702,Reason
703,Reason
704,Reason
705,Reason
706,Emotion
707,Reason
708,Control
709,Reason
710,Reason
711,Control
712,Reason
713,Emotion
714,Control
715,Reason
716,Emotion
717,Control
718,Control
719,Emotion
720,Emotion
721,Emotion
722,Control
723,Emotion
724,Reason
725,Emotion
726,Control
727,Reason
728,Control
729,Reason
730,Control
731,Reason
732,Control
733,Control
734,Reason
735,Control
736,Control
737,Reason
738,Control
739,Control
740,Emotion
741,Reason
742,Emotion
743,Emotion
744,Control
745,Emotion
746,Emotion
747,Control
748,Control
749,Control
750,Control
751,Reason
752,Reason
753,Control
754,Reason
755,Emotion
756,Emotion
757,Emotion
758,Control
759,Control
760,Reason
761,Emotion
762,Emotion
763,Emotion
764,Control
765,Control
766,Control
767,Reason
768,Reason
769,Reason
770,Reason
771,Reason
772,Emotion
773,Control
774,Reason
775,Emotion
776,Control
777,Reason
778,Reason
779,Control
780,Emotion
781,Control
782,Reason
783,Emotion
784,Reason
785,Control
786,Control
787,Reason
788,Emotion
789,Control
790,Emotion
791,Emotion
792,Emotion
793,Emotion
794,Emotion
795,Emotion
796,Emotion
797,Emotion
798,Reason
799,Reason
800,Emotion
801,Control
802,Control
803,Reason
804,Control
805,Reason
806,Reason
807,Emotion
808,Emotion
809,Reason
810,Control
811,Control
812,Reason
813,Control
814,Emotion
815,Emotion
816,Reason
817,Emotion
818,Emotion
819,Control
820,Emotion
821,Reason
822,Control
823,Emotion
824,Control
825,Emotion
826,Control
827,Reason
828,Control
829,Emotion
830,Control
831,Reason
832,Reason
833,Emotion
834,Reason
835,Emotion
836,Reason
837,Control
838,Reason
839,Emotion
840,Emotion
841,Emotion
842,Emotion
843,Emotion
844,Emotion
845,Emotion
846,Reason
847,Control
848,Reason
849,Emotion
850,Reason
851,Emotion
852,Emotion
853,Emotion
854,Control
855,Reason
856,Emotion
857,Emotion
858,Emotion
859,Reason
860,Reason
861,Control
862,Control
863,Control
864,Reason
865,Emotion
866,Reason
867,Reason
868,Control
869,Control
870,Reason
871,Emotion
872,Emotion
873,Control
874,Control
875,Emotion
876,Emotion
877,Emotion
878,Reason
879,Emotion
880,Control
881,Reason
882,Control
883,Emotion
884,Reason
885,Reason
886,Emotion
887,Control
888,Emotion
889,Reason
890,Emotion
891,Reason
892,Control
893,Reason
894,Reason
895,Control
896,Control
897,Reason
898,Emotion
899,Control
900,Control
901,Reason
902,Control
903,Emotion
904,Control
905,Reason
906,Emotion
907,Emotion
908,Reason
909,Emotion
910,Control
911,Emotion
912,Control
913,Control
914,Control
915,Reason
916,Emotion
917,Emotion
918,Emotion
919,Control
920,Emotion
921,Reason
922,Reason
923,Reason
924,Emotion
925,Reason
926,Emotion
927,Control
928,Emotion
929,Emotion
930,Control
931,Control
932,Control
933,Control
934,Reason
935,Reason
936,Emotion
937,Emotion
938,Control
939,Reason
940,Emotion
941,Emotion
942,Reason
943,Control
944,Reason
945,Reason
946,Emotion
947,Emotion
948,Emotion
949,Emotion
950,Emotion
951,Emotion
952,Reason
953,Control
954,Emotion
955,Control
956,Control
957,Control
958,Control
959,Control
960,Emotion
961,Reason
962,Emotion
963,Reason
964,Emotion
965,Reason
966,Control
967,Emotion
968,Control
969,Reason
970,Reason
971,Reason
972,Control
973,Reason
974,Emotion
975,Reason
976,Emotion
977,Emotion
978,Emotion
979,Reason
980,Emotion
981,Reason
982,Emotion
983,Reason
984,Reason
985,Reason
986,Reason
987,Emotion
988,Reason
989,Reason
990,Reason
991,Control
992,Reason
993,Emotion
994,Control
995,Control
996,Control
997,Reason
998,Control
999,Emotion
1000,Reason
1001,Control
1002,Emotion
1003,Emotion
1004,Reason
1005,Emotion
1006,Control
1007,Emotion
1008,Reason
1009,Emotion
1010,Emotion
1011,Reason
1012,Reason
1013,Control
1014,Reason
1015,Control
1016,Emotion
1017,Reason
1018,Reason
1019,Control
1020,Control
1021,Emotion
1022,Reason
1023,Control
1024,Reason
1025,Reason
1026,Emotion
1027,Emotion
1028,Reason
1029,Control
1030,Emotion
1031,Emotion
1032,Reason
1033,Reason
1034,Control
1035,Control
1036,Control
1037,Control
1038,Emotion
1039,Reason
1040,Emotion
1041,Control
1042,Emotion
1043,Emotion
1044,Emotion
1045,Reason
1046,Emotion
1047,Reason
1048,Emotion
1049,Reason
1050,Control
1051,Emotion
1052,Control
1053,Emotion
1054,Reason
1055,Reason
1056,Emotion
1057,Emotion
1058,Control
1059,Emotion
1060,Reason
1061,Emotion
1062,Emotion
1063,Emotion
1064,Reason
1065,Reason
1066,Reason
1067,Reason
1068,Control
1069,Control
1070,Control
1071,Reason
1072,Reason
1073,Control
1074,Control
1075,Emotion
1076,Emotion
1077,Reason
1078,Reason
1079,Emotion
1080,Emotion
1081,Emotion
1082,Emotion
1083,Emotion
1084,Reason
1085,Emotion
1086,Control
1087,Emotion
1088,Emotion
1089,Control
1090,Emotion
1091,Emotion
1092,Emotion
1093,Emotion
1094,Control
1095,Control
1096,Emotion
1097,Emotion
1098,Emotion
1099,Control
1100,Emotion
1101,Emotion
1102,Emotion
1103,Reason
1104,Reason
1105,Reason
1106,Control
1107,Control
1108,Emotion
1109,Reason
1110,Reason
1111,Control
1112,Emotion
1113,Reason
1114,Control
1115,Reason
1116,Emotion
1117,Reason
1118,Control
1119,Control
1120,Control
1121,Emotion
1122,Reason
1123,Emotion
1124,Reason
1125,Reason
1126,Emotion
1127,Reason
1128,Control
1129,Reason
1130,Reason
1131,Reason
1132,Emotion
1133,Reason
1134,Control
1135,Control
1136,Control
1137,Control
1138,Emotion
1139,Control
1140,Emotion
1141,Reason
1142,Emotion
1143,Control
1144,Control
1145,Reason
1146,Reason
1147,Reason
1148,Reason
1149,Emotion
1150,Control
1151,Reason
1152,Emotion
1153,Control
1154,Control
1155,Reason
1156,Control
1157,Reason
1158,Emotion
1159,Control
1160,Control
1161,Emotion
1162,Control
1163,Control
1164,Emotion
1165,Reason
1166,Emotion
1167,Emotion
1168,Control
1169,Control
1170,Reason
1171,Reason
1172,Reason
1173,Reason
1174,Reason
1175,Control
1176,Reason
1177,Emotion
1178,Emotion
1179,Reason
1180,Control
1181,Control
1182,Emotion
1183,Control
1184,Control
1185,Reason
1186,Reason
1187,Emotion
1188,Reason
1189,Reason
1190,Control
1191,Reason
1192,Emotion
1193,Emotion
1194,Emotion
1195,Control
1196,Control
1197,Reason
1198,Control
1199,Reason
1200,Emotion
1201,Reason
1202,Reason
1203,Reason
1204,Reason
1205,Control
1206,Emotion
1207,Reason
1208,Reason
1209,Reason
1210,Emotion
1211,Control
1212,Control
1213,Control
1214,Reason
1215,Emotion
1216,Reason
1217,Control
1218,Control
1219,Control
1220,Reason
1221,Control
1222,Control
1223,Control
1224,Emotion
1225,Reason
1226,Emotion
1227,Emotion
1228,Control
1229,Reason
1230,Emotion
1231,Reason
1232,Control
1233,Reason
1234,Reason
1235,Control
1236,Emotion
1237,Control
1238,Emotion
1239,Emotion
1240,Control
1241,Emotion
1242,Reason
1243,Emotion
1244,Emotion
1245,Emotion
1246,Control
1247,Emotion
1248,Reason
1249,Control
1250,Control
1251,Emotion
1252,Control
1253,Emotion
1254,Reason
1255,Reason
1256,Reason
1257,Reason
1258,Reason
1259,Control
1260,Emotion
1261,Reason
1262,Emotion
1263,Reason
1264,Reason
1265,Emotion
1266,Emotion
1267,Reason
1268,Emotion
1269,Reason
1270,Control
1271,Reason
1272,Emotion
1273,Reason
1274,Emotion
1275,Reason
1276,Reason
1277,Emotion
1278,Emotion
1279,Control
1280,Control
1281,Control
1282,Control
1283,Control
1284,Emotion
1285,Reason
1286,Reason
1287,Control
1288,Reason
1289,Control
1290,Reason
1291,Reason
1292,Control
1293,Emotion
1294,Control
1295,Emotion
1296,Emotion
1297,Reason
1298,Control
1299,Reason
1300,Control
1301,Reason
1302,Emotion
1303,Reason
1304,Emotion
1305,Reason
1306,Control
1307,Emotion
1308,Reason
1309,Reason
1310,Reason
1311,Emotion
1312,Control
1313,Reason
1314,Control
1315,Reason
1316,Emotion
1317,Control
1318,Reason
1319,Emotion
1320,Reason
1321,Control
1322,Control
1323,Emotion
1324,Reason
1325,Control
1326,Control
1327,Control
1328,Emotion
1329,Reason
1330,Emotion
1331,Control
1332,Control
1333,Emotion
1334,Control
1335,Control
1336,Reason
1337,Reason
1338,Reason
1339,Emotion
1340,Control
1341,Emotion
1342,Reason
1343,Emotion
1344,Reason
1345,Emotion
1346,Emotion
1347,Emotion
1348,Control
1349,Control
1350,Emotion
1351,Reason
1352,Control
1353,Reason
1354,Control
1355,Emotion
1356,Reason
1357,Reason
1358,Control
1359,Reason
1360,Control
1361,Emotion
1362,Emotion
1363,Emotion
1364,Control
1365,Emotion
1366,Reason
1367,Control
1368,Control
1369,Emotion
1370,Reason
1371,Emotion
1372,Emotion
1373,Control
1374,Control
1375,Emotion
1376,Control
1377,Control
1378,Control
1379,Emotion
1380,Control
1381,Emotion
1382,Reason
1383,Control
1384,Control
1385,Emotion
1386,Emotion
1387,Control
1388,Control
1389,Emotion
1390,Control
1391,Emotion
1392,Reason
1393,Control
1394,Reason
1395,Reason
1396,Control
1397,Control
1398,Reason
1399,Reason
1400,Control
1401,Emotion
1402,Control
1403,Control
1404,Reason
1405,Reason
1406,Control
1407,Emotion
1408,Control
1409,Control
1410,Reason
1411,Control
1412,Emotion
1413,Emotion
1414,Reason
1415,Emotion
1416,Control
1417,Control
1418,Reason
1419,Reason
1420,Reason
1421,Reason
1422,Emotion
1423,Emotion
1424,Reason
1425,Reason
1426,Emotion
1427,Control
1428,Emotion
1429,Emotion
1430,Reason
1431,Reason
1432,Reason
1433,Control
1434,Control
1435,Emotion
1436,Emotion
1437,Control
1438,Control
1439,Emotion
1440,Control
1441,Control
1442,Reason
1443,Emotion
1444,Control
1445,Control
1446,Emotion
1447,Reason
1448,Control
1449,Emotion
1450,Emotion
1451,Control
1452,Emotion
1453,Reason
1454,Emotion
1455,Reason
1456,Reason
1457,Reason
1458,Reason
1459,Emotion
1460,Reason
1461,Reason
1462,Control
1463,Emotion
1464,Emotion
1465,Reason
1466,Reason
1467,Emotion
1468,Reason
1469,Reason
1470,Emotion
1471,Control
1472,Emotion
1473,Reason
1474,Reason
1475,Reason
1476,Reason
1477,Emotion
1478,Reason
1479,Reason
1480,Emotion
1481,Control
1482,Control
1483,Emotion
1484,Emotion
1485,Emotion
1486,Emotion
1487,Emotion
1488,Control
1489,Control
1490,Reason
1491,Reason
1492,Reason
1493,Reason
1494,Reason
1495,Emotion
1496,Control
1497,Reason
1498,Emotion
1499,Reason
1500,Control
1501,Emotion
1502,Emotion
1503,Reason
1504,Emotion
1505,Emotion
1506,Control
1507,Reason
1508,Reason
1509,Reason
1510,Reason
1511,Control
1512,Control
1513,Reason
1514,Reason
1515,Emotion
1516,Control
1517,Emotion
1518,Control
1519,Reason
1520,Emotion
1521,Reason
1522,Control
1523,Emotion
1524,Reason
1525,Emotion
1526,Control
1527,Control
1528,Emotion
1529,Reason
1530,Emotion
1531,Emotion
1532,Reason
1533,Reason
1534,Reason
1535,Emotion
1536,Control
1537,Reason
1538,Control
1539,Reason
1540,Reason
1541,Control
1542,Control
1543,Emotion
1544,Emotion
1545,Emotion
1546,Control
1547,Control
1548,Emotion
1549,Emotion
1550,Reason
1551,Reason
1552,Control
1553,Reason
1554,Emotion
1555,Control
1556,Emotion
1557,Control
1558,Reason
1559,Emotion
1560,Control
1561,Control
1562,Reason
1563,Control
1564,Control
1565,Emotion
1566,Emotion
1567,Control
1568,Emotion
1569,Control
1570,Control
1571,Control
1572,Reason
1573,Control
1574,Reason
1575,Reason
1576,Emotion
1577,Reason
1578,Reason
1579,Control
1580,Emotion
1581,Emotion
1582,Emotion
1583,Control
1584,Emotion
1585,Emotion
1586,Emotion
1587,Reason
1588,Emotion
1589,Control
1590,Control
1591,Reason
1592,Control
1593,Emotion
1594,Reason
1595,Reason
1596,Reason
1597,Control
1598,Reason
1599,Control
1600,Reason
1601,Control
1602,Reason
1603,Emotion
1604,Reason
1605,Reason
1606,Reason
1607,Control
1608,Reason
1609,Control
1610,Control
1611,Control
1612,Emotion
1613,Control
1614,Emotion
1615,Reason
1616,Emotion
1617,Reason
1618,Control
1619,Emotion
1620,Control
1621,Reason
1622,Control
1623,Reason
1624,Control
1625,Control
1626,Reason
1627,Control
1628,Control
1629,Reason
1630,Control
1631,Emotion
1632,Reason
1633,Reason
1634,Control
1635,Control
1636,Control
1637,Emotion
1638,Emotion
1639,Reason
1640,Reason
1641,Emotion
1642,Reason
1643,Reason
1644,Reason
1645,Emotion
1646,Control
1647,Reason
1648,Reason
1649,Control
1650,Emotion
1651,Emotion
1652,Reason
1653,Emotion
1654,Emotion
1655,Emotion
1656,Control
1657,Emotion
1658,Emotion
1659,Control
1660,Emotion
1661,Control
1662,Reason
1663,Reason
1664,Reason
1665,Control
1666,Emotion
1667,Control
1668,Emotion
1669,Control
1670,Control
1671,Reason
1672,Emotion
1673,Reason
1674,Emotion
1675,Reason
1676,Emotion
1677,Emotion
1678,Reason
1679,Control
1680,Control
1681,Emotion
1682,Emotion
1683,Reason
1684,Emotion
1685,Reason
1686,Reason
1687,Reason
1688,Reason
1689,Emotion
1690,Control
1691,Emotion
1692,Control
1693,Reason
1694,Reason
1695,Reason
1696,Emotion
1697,Control
1698,Reason
1699,Emotion
1700,Control
1701,Reason
1702,Reason
1703,Emotion
1704,Control
1705,Emotion
1706,Emotion
1707,Reason
1708,Reason
1709,Control
1710,Reason
1711,Control
1712,Emotion
1713,Reason
1714,Emotion
1715,Reason
1716,Control
1717,Reason
1718,Control
1719,Reason
1720,Reason
1721,Reason
1722,Reason
1723,Emotion
1724,Control
1725,Emotion
1726,Reason
1727,Control
1728,Emotion
1729,Emotion
1730,Emotion
1731,Reason
1732,Reason
1733,Control
1734,Control
1735,Emotion
1736,Control
1737,Control
1738,Emotion
1739,Reason
1740,Control
1741,Control
1742,Reason
1743,Control
1744,Control
1745,Control
1746,Emotion
1747,Reason
1748,Emotion
1749,Emotion
1750,Emotion
1751,Reason
1752,Control
1753,Emotion
1754,Control
1755,Reason
1756,Control
1757,Reason
1758,Reason
1759,Reason
1760,Emotion
1761,Reason
1762,Reason
1763,Reason
1764,Control
1765,Reason
1766,Reason
1767,Control
1768,Emotion
1769,Reason
1770,Reason
1771,Reason
1772,Control
1773,Emotion
1774,Emotion
1775,Reason
1776,Emotion
1777,Reason
1778,Control
1779,Emotion
1780,Reason
1781,Reason
1782,Reason
1783,Emotion
1784,Control
1785,Emotion
1786,Control
1787,Reason
1788,Emotion
1789,Reason
1790,Control
1791,Control
1792,Reason
1793,Control
1794,Reason
1795,Control
1796,Emotion
1797,Reason
1798,Control
1799,Reason
1800,Control
1801,Reason
1802,Emotion
1803,Reason
1804,Control
1805,Emotion
1806,Control
1807,Reason
1808,Reason
1809,Control
1810,Emotion
1811,Control
1812,Control
1813,Emotion
1814,Control
1815,Reason
1816,Control
1817,Control
1818,Reason
1819,Reason
1820,Control
1821,Emotion
1822,Emotion
1823,Control
1824,Emotion
1825,Reason
1826,Emotion
1827,Control
1828,Emotion
1829,Control
1830,Emotion
1831,Control
1832,Control
1833,Control
1834,Control
1835,Control
1836,Control
1837,Reason
1838,Emotion
1839,Control
1840,Reason
1841,Emotion
1842,Emotion
1843,Control
1844,Emotion
1845,Control
1846,Reason
1847,Emotion
1848,Control
1849,Emotion
1850,Reason
1851,Control
1852,Control
1853,Control
1854,Emotion
1855,Control
1856,Emotion
1857,Control
1858,Reason
1859,Control
1860,Control
1861,Reason
1862,Emotion
1863,Reason
1864,Emotion
1865,Emotion
1866,Reason
1867,Control
1868,Reason
1869,Control
1870,Reason
1871,Control
1872,Reason
1873,Emotion
1874,Control
1875,Control
1876,Emotion
1877,Control
1878,Emotion
1879,Reason
1880,Reason
1881,Reason
1882,Reason
1883,Reason
1884,Control
1885,Emotion
1886,Control
1887,Control
1888,Emotion
1889,Control
1890,Control
1891,Reason
1892,Reason
1893,Control
1894,Control
1895,Reason
1896,Emotion
1897,Emotion
1898,Control
1899,Emotion
1900,Reason
1901,Control
1902,Reason
1903,Reason
1904,Reason
1905,Reason
1906,Reason
1907,Emotion
1908,Reason
1909,Control
1910,Emotion
1911,Emotion
1912,Reason
1913,Reason
1914,Reason
1915,Reason
1916,Emotion
1917,Reason
1918,Control
1919,Emotion
1920,Reason
1921,Emotion
1922,Control
1923,Reason
1924,Emotion
1925,Reason
1926,Control
1927,Control
1928,Control
1929,Reason
1930,Emotion
1931,Emotion
1932,Emotion
1933,Control
1934,Emotion
1935,Control
1936,Control
1937,Control
1938,Control
1939,Emotion
1940,Emotion
1941,Emotion
1942,Reason
1943,Emotion
1944,Control
1945,Reason
1946,Emotion
1947,Reason
1948,Control
1949,Reason
1950,Emotion
1951,Reason
1952,Reason
1953,Emotion
1954,Emotion
1955,Emotion
1956,Control
1957,Emotion
1958,Reason
1959,Control
1960,Emotion
1961,Emotion
1962,Reason
1963,Control
1964,Control
1965,Control
1966,Emotion
1967,Emotion
1968,Emotion
1969,Control
1970,Emotion
1971,Reason
1972,Reason
1973,Emotion
1974,Reason
1975,Reason
1976,Reason
1977,Control
1978,Control
1979,Emotion
1980,Control
1981,Control
1982,Control
1983,Emotion
1984,Emotion
1985,Reason
1986,Emotion
1987,Reason
1988,Control
1989,Control
1990,Reason
1991,Control
1992,Reason
1993,Control
1994,Reason
1995,Reason
1996,Reason
1997,Control
1998,Emotion
1999,Reason
2000,Control
2001,Reason
2002,Emotion
2003,Reason
2004,Emotion
2005,Reason
2006,Emotion
2007,Control
2008,Reason
2009,Control
2010,Reason
2011,Control
2012,Reason
2013,Reason
2014,Control
2015,Emotion
2016,Control
2017,Control
2018,Reason
2019,Emotion
2020,Reason
2021,Control
2022,Control
2023,Reason
2024,Reason
2025,Control
2026,Emotion
2027,Emotion
2028,Control
2029,Reason
2030,Reason
2031,Reason
2032,Emotion
2033,Control
2034,Control
2035,Reason
2036,Control
2037,Emotion
2038,Control
2039,Emotion
2040,Emotion
2041,Reason
2042,Reason
2043,Reason
2044,Reason
2045,Control
2046,Emotion
2047,Control
2048,Emotion
2049,Emotion
2050,Reason
2051,Emotion
2052,Control
2053,Reason
2054,Emotion
2055,Emotion
2056,Control
2057,Emotion
2058,Control
2059,Reason
2060,Emotion
2061,Reason
2062,Control
2063,Control
2064,Control
2065,Control
2066,Reason
2067,Control
2068,Emotion
2069,Reason
2070,Reason
2071,Reason
2072,Emotion
2073,Reason
2074,Emotion
2075,Control
2076,Control
2077,Emotion
2078,Control
2079,Reason
2080,Reason
2081,Reason
2082,Reason
2083,Control
2084,Control
2085,Control
2086,Reason
2087,Emotion
2088,Reason
2089,Emotion
2090,Reason
2091,Control
2092,Control
2093,Emotion
2094,Control
2095,Reason
2096,Reason
2097,Reason
2098,Reason
2099,Emotion
2100,Reason
2101,Emotion
2102,Emotion
2103,Reason
2104,Control
2105,Control
2106,Emotion
2107,Reason
2108,Control
2109,Control
2110,Reason
2111,Emotion
2112,Reason
2113,Control
2114,Control
2115,Emotion
2116,Reason
2117,Control
2118,Reason
2119,Emotion
2120,Emotion
2121,Emotion
2122,Emotion
2123,Control
2124,Control
2125,Control
2126,Control
2127,Emotion
2128,Emotion
2129,Control
2130,Control
2131,Reason
2132,Control
2133,Emotion
2134,Emotion
2135,Emotion
2136,Emotion
